Ih,E,12C5,12C5^2,20C3,15C2,i,12S10,12S10^3,20S6,15sh
Ag,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
T1g,3.00000,1.61803,-0.61803,0.00000,-1.00000,3.00000,-0.61803,1.61803,0.00000,-1.00000
T2g,3.00000,-0.61803,1.61803,0.00000,-1.00000,3.00000,1.61803,-0.61803,0.00000,-1.00000
Gg,4.00000,-1.00000,-1.00000,1.00000,0.00000,4.00000,-1.00000,-1.00000,1.00000,0.00000
Hg,5.00000,0.00000,0.00000,-1.00000,1.00000,5.00000,0.00000,0.00000,-1.00000,1.00000
Au,1.00000,1.00000,1.00000,1.00000,1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
T1u,3.00000,1.61803,-0.61803,0.00000,-1.00000,-3.00000,0.61803,-1.61803,0.00000,1.00000
T2u,3.00000,-0.61803,1.61803,0.00000,-1.00000,-3.00000,-1.61803,0.61803,0.00000,1.00000
Gu,4.00000,-1.00000,-1.00000,1.00000,0.00000,-4.00000,1.00000,1.00000,-1.00000,0.00000
Hu,5.00000,0.00000,0.00000,-1.00000,1.00000,-5.00000,0.00000,0.00000,1.00000,-1.00000
